91,Райфайзен (България) Активна Защита,Rayfayzen-Bylgariya-Aktivna-Zashtita
128,ДФ "Райфайзен (България) Глобален Микс",DF-Rayfayzen-Bylgariya-Globalen-Miks
23,ДФ „Селект Облигации“,DF-Selekt-Obligacii
24,ДФ „Селект Баланс“,DF-Selekt-Balans
25,ДФ „Селект Регионал“,DF-Selekt-Regional
102,ДФ „Селект Дивидент“,DF-Selekt-Divident
32,СКАЙ Нови Акции,SKAY-Novi-Akcii
33,СКАЙ Финанси,SKAY-Finansi
97,СКАЙ Глобал ETFs,SKAY-Global-ETFs
48,ДФ Профит,DF-Profit
49,ДФ Престиж,DF-Prestizh
5,ДФ Тексим Парични Пазари,DF-Teksim-Parichni-Pazari
6,ДФ Тексим България,DF-Teksim-Bylgariya
39,ДФ Тексим Балкани,DF-Teksim-Balkani
59,ДФ Тексим Комодити Стратеджи,DF-Teksim-Komoditi-Stratedzhi
78,Тренд Балансиран Фонд,Trend-Balansiran-Fond
81,Тренд Фонд Акции,Trend-Fond-Akcii
103,Тренд Фонд Паричен Пазар,Trend-Fond-Parichen-Pazar
55,ЦКБ Лидер,CKB-Lider
75,ЦКБ Актив,CKB-Aktiv
76,ЦКБ Гарант,CKB-Garant
116,ДФ Юг Маркет Максимум,DF-YUg-Market-Maksimum
117,ДФ "Юг Маркет Оптимум",DF-YUg-Market-Optimum
